"WaterYear","WinterRun_LAD_Loss","WinterRun_Genetic_Loss","WinterRun_Genetic_Loss_according_to_geneticdatasheet","BroodYear","JuvenileProductionEstimate","PercentJPE_genetic","PercentJPE_LAD"
1996,2375.693671634,283.97,283.97,1995,338107,0.0839882049173782,0.702645515068898
1997,629.697710754,34.17,34.17,1996,165069,0.0207004343638115,0.381475450117224
1998,1525.053369381,696.02,696.04,1997,138316,0.503210040776194,1.10258637423075
1999,3715.093335673,1153.54,1171.42,1998,454792,0.25364122499956,0.81687745951402
2000,5824.00270482,563.36,563.36,1999,289724,0.19444712899173,2.01018994105424
2001,20061.288718258,14042.35,14044.09,2000,370221,3.79296420246285,5.41873332908128
2002,3330.977444464,634.49,664.07,2001,1864802,0.034024523783222,0.178623652509167
2003,6816.296407254,2644.46,2627.64,2002,2136747,0.123761025521505,0.319003438743754
2004,7778.932075441,3032.51,3045.85,2003,1896649,0.15988778102854,0.410140836572344
2005,1373.083059981,0,0,2004,881719,0,0.155727965483448
2006,2601.154572447,1274.14,1274.14,2005,3831286,0.033256196483374,0.0678924667186684
2007,3297.1246504,1842.24,1843.25,2006,3739069,0.0492700188201929,0.088180363892723
2008,1292.098810849,750.9,746.02,2007,589911,0.127290387872069,0.219032838995882
2009,1514.712422558,1208.59,1208.59,2008,617783,0.195633418206717,0.24518519003566
2010,1656.447095822,964.64,964.64,2009,1179633,0.0817745858245743,0.140420545697009
2011,4360.084158848,1469.64,1468.38,2010,332012,0.442646651325856,1.31323089492187
2012,2078.83861896,900.49,900.11,2011,162051,0.555683087423095,1.2828298615621
2013,731.64843817,198.2,198.2,2012,532809,0.0371990713370082,0.137319083981314
2014,322.259944976,48.45,48.45,2013,1196387,0.00404969295052521,0.0269360955088947
2015,105.887252594,0,0,2014,124521,0,0.0850356587194128
2016,56.41348369,11.47,11.47,2015,101716,0.0112764953399662,0.0554617598902827
2017,110.645985184,0,0,2016,166189,0,0.0665784048186101
2018,670.179228949,97.28,97.27,2017,201409,0.0482997284133281,0.332745422969679
2019,565.706719476,212.37,212.36,2018,433176,0.0490262618427614,0.130595120569007
2020,196.712000387,76.92,76.92,2019,854941,0.00899711208141848,0.0230088392517144
2021,8.213016573,3.88,3.88,2020,330130,0.00117529458092267,0.00248781285342138
2022,73.034240531,0,0,2021,125038,0,0.0584096358954878
